"row ID","sub","http://purl.org/dc/terms/created+First(obj)","http://purl.org/dc/terms/creator+First(obj)","http://purl.org/dc/terms/title+First(obj)","http://www.openannotation.org/ns/hasBody+First(obj)","http://www.openannotation.org/ns/hasTarget+First(obj)","http://www.w3.org/1999/02/22-rdf-syntax-ns#type+First(obj)"
"Row0","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#1","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.130","http://pleiades.stoa.org/places/707462#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.130","http://www.openannotation.org/ns/Annotation"
"Row1","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#10","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.176","http://pleiades.stoa.org/places/275696#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.176","http://www.openannotation.org/ns/Annotation"
"Row2","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#11","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.176","http://pleiades.stoa.org/places/866051#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.176","http://www.openannotation.org/ns/Annotation"
"Row3","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#12","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.176","http://pleiades.stoa.org/places/614824#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.176","http://www.openannotation.org/ns/Annotation"
"Row4","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#13","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.122","http://pleiades.stoa.org/places/648789#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.122","http://www.openannotation.org/ns/Annotation"
"Row5","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#14","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.130","http://pleiades.stoa.org/places/687902#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.130","http://www.openannotation.org/ns/Annotation"
"Row6","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#15","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.238","http://pleiades.stoa.org/places/741517#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.238","http://www.openannotation.org/ns/Annotation"
"Row7","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#16","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.238","http://pleiades.stoa.org/places/736963#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.238","http://www.openannotation.org/ns/Annotation"
"Row8","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#17","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.179","http://pleiades.stoa.org/places/687928#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.179","http://www.openannotation.org/ns/Annotation"
"Row9","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#18","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.331","http://pleiades.stoa.org/places/687928#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.331","http://www.openannotation.org/ns/Annotation"
